Test Case Number,Test Case Name,True Positive,Result,CWE,Category,Evidence,Confidence,Source,DataFlow,Sink
1,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
1,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
1,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
2,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
2,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
2,,false,false,22,PATH_TRAVERSAL_OUT,FB:22::SECPTO,0,null,null,null
3,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
3,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
3,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
4,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
4,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
4,,false,false,501,TRUST_BOUNDARY_VIOLATION,FB:501::SECTBV,0,null,null,null
5,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
5,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
5,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
5,,false,false,327,PADDING_ORACLE,FB:null::PADORA,0,null,null,null
5,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
5,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
5,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
5,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
6,,false,false,78,COMMAND_INJECTION,FB:78::SECCI,0,null,null,null
6,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
6,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
7,,false,false,78,COMMAND_INJECTION,FB:78::SECCI,0,null,null,null
7,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
7,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
8,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
8,,false,false,0,SERVLET_HEADER,FB:null::SECSH,0,null,null,null
8,,false,false,89,SQL_INJECTION_JDBC,FB:89::SECSQLIJDBC,0,null,null,null
9,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
10,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
10,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
10,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
10,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
10,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
10,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
11,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
12,,false,false,90,LDAP_INJECTION,FB:90::SECLDAPI,0,null,null,null
12,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
13,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
14,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
15,,false,false,78,COMMAND_INJECTION,FB:78::SECCI,0,null,null,null
16,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
16,,false,false,113,HTTP_RESPONSE_SPLITTING,FB:113::SECHRS,0,null,null,null
17,,false,false,78,COMMAND_INJECTION,FB:78::SECCI,0,null,null,null
18,,false,false,89,SQL_INJECTION_JDBC,FB:89::SECSQLIJDBC,0,null,null,null
18,,false,false,89,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,FB:89::SQL,0,null,null,null
19,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
